video_id,start,end,text,dialect
-7Sym-JtoLQ,00:00:06.140,00:00:09.480,معروف إنه طريقة عمل المعالج الوظيفي,Jordan
-7Sym-JtoLQ,00:00:09.500,00:00:11.700,إنه بده يضع خطة علاجية,Jordan
-7Sym-JtoLQ,00:00:11.740,00:00:14.840,بقوم بتطبيقها من خلال أنشطة علاجية,Jordan
-7Sym-JtoLQ,00:00:14.880,00:00:20.860,وبعد فترة بتم إعادة تقييم للخطة ومخرجاتها,Jordan
-7Sym-JtoLQ,00:00:20.920,00:00:24.160,طبعاً في حالة مرق شهر أو شهرين,Jordan
-7Sym-JtoLQ,00:00:24.220,00:00:26.620,وما عاد فيه أي مخرجات واضحة,Jordan
-7Sym-JtoLQ,00:00:26.700,00:00:30.180,معناته بالأساس الخطة إلي تم وضعها أو الأهداف,Jordan
-7Sym-JtoLQ,00:00:30.260,00:00:32.180,كانت مش مناسبة,Jordan
-7Sym-JtoLQ,00:00:32.240,00:00:36.600,طبعاً الأهل ممكن يفكروا بتغيير المعالج الوظيفي,Jordan
-7Sym-JtoLQ,00:00:36.700,00:00:38.980,أو التفاهم معه,Jordan
-7Sym-JtoLQ,00:00:39.040,00:00:43.180,إنه الخطة العلاجية من الأساس كان فيها خلل,Jordan
-7Sym-JtoLQ,00:00:43.200,00:00:47.320,فالمعالج بيقوم بتعديلها,Jordan
-7Sym-JtoLQ,00:00:47.380,00:00:49.560,ممكن كمان الأهل يفكروا بتغيير المعالج,Jordan
-7Sym-JtoLQ,00:00:49.600,00:00:53.340,إذا فعلاً بعد شهرين أو أكثر ما كان فيه أي نتيجة,Jordan
-7Sym-JtoLQ,00:00:53.420,00:00:56.580,من حق الأهل كمان إنهم يفكروا بتغيير المعالج,Jordan
0nlpfBQHNwI,00:00:00.320,00:00:11.580,"في هذه الحلقة لن تسمع خطاب تحفيزي, ولكن سوف تتعلم برنامج تطبيقي ومبسط لعادات يوميه تنمي كتله العضلات على خطى علميه مثبته وبأقل عناء ممكن",Jordan
0nlpfBQHNwI,00:00:11.980,00:00:19.440,فالعضلات هي جوهرة تاج الجسم، وهي السبب الحقيقي في أن انظمة جسمك الأخرى تعمل ليلًا ونهارًا,Jordan
0nlpfBQHNwI,00:00:19.440,00:00:31.220,لتغذيه هذه العضلات لإعطائك حريه الحركة والقيام بوظائفك اليومية. يصعب بناء كتله العضل لأنها تحتاج لخطوات محدده معروفه ومدروسة لكي تنمو,Jordan
0nlpfBQHNwI,00:00:31.280,00:00:43.360,تطبيق هذه الخطوات قد لا يكون ممتع في البداية ولكن ان العيش بصحة ممتازة والتمتع بجسد رشيق وجميل وقادر على التعامل مع أي شيء تلقيه عليك الحياة,Jordan
0nlpfBQHNwI,00:00:43.360,00:00:49.140,هو المتعة الحقيقية وستشعر بسعادة بالغه عندما تؤدي وظيفتك على اتم وجه,Jordan
0nlpfBQHNwI,00:00:49.180,00:00:53.240,اشترك معنا بالقناة وبدون أي تأخير ندخل بصلب الموضوع,Jordan
0nlpfBQHNwI,00:01:01.020,00:01:03.140,السلام عليكم مقدمكم الدكتور فارس عرب,Jordan
0nlpfBQHNwI,00:01:03.620,00:01:09.060,"الخطوة ١ النوم
يجب ان تستريح وتنام بما فيه الكفاية",Jordan
0nlpfBQHNwI,00:01:09.540,00:01:22.360,"البناء في الجسم يحصل عندما تستريح أو تنام, فوقت النوم هو الوقت الذي يتفرغ فيه جسمك من المهام اليومية لكي يصلح ويبني ما قد تم اتلافه اثناء استعمال جسمك",Jordan
0nlpfBQHNwI,00:01:22.360,00:01:34.300,أحد الهرمونات الرئيسيه المسؤوله عن البناء هو هرمون النمو البشري  HGH وتكون مستويات هذا الهرمون أعلى عند النوم لذلك يجب الاستفادة من هذا الوقت,Jordan
0nlpfBQHNwI,00:01:34.800,00:01:45.720,وعلى غرار ذلك يرتبط الإجهاد وقلة النوم بارتفاع مستويات الكورتزول. والكورتزول هو هرمون catabolic  او هرمون هدم يكسر أنسجة العضلات,Jordan
