video_pth,text
jo-aud/IvFnMosWSx8-1844.wav,"بالسلامِة حبيبي يا بابا
 تروح وترجع يا غالي"
jo-aud/IvFnMosWSx8-1845.wav,"يا دموع العين سكابا 
عاللي دنيانا مالي"
jo-aud/IvFnMosWSx8-1846.wav,"بالسلامِة حبيبي يا بابا
 تروح وترجع يا غالي"
jo-aud/IvFnMosWSx8-1847.wav,"يا دموع العين سكابا 
عاللي دنيانا مالي"
jo-aud/IvFnMosWSx8-1848.wav,"مين يحن علينا مين
 من بعدك يا نور العين"
jo-aud/IvFnMosWSx8-1849.wav,"بحضنو يجمعنا كل حين
 ويغمرنا بالدلالِ"
jo-aud/IvFnMosWSx8-1850.wav,"بالسلامِة حبيبي يا بابا
 تروح وترجع يا غالي"
jo-aud/IvFnMosWSx8-1851.wav,"يا دموع العين سكابا 
عاللي دنيانا مالي"
jo-aud/IvFnMosWSx8-1852.wav,"بالسلامِة حبيبي يا بابا
 تروح وترجع يا غالي"
jo-aud/IvFnMosWSx8-1853.wav,"يا دموع العين سكابا 
عاللي دنيانا مالي"
jo-aud/IvFnMosWSx8-1854.wav,"إحنا وماما بنستناك
 نطلع نتسلى معاك"
jo-aud/IvFnMosWSx8-1855.wav,"نلعب ونمرح ونتحدّاك
 وتطيّرنا بالعالي"
jo-aud/IvFnMosWSx8-1856.wav,"بالسلامِة حبيبي يا بابا
 تروح وترجع يا غالي"
jo-aud/IvFnMosWSx8-1857.wav,"يا دموع العين سكابا 
عاللي دنيانا مالي"
jo-aud/IvFnMosWSx8-1858.wav,"بالسلامِة حبيبي يا بابا
 تروح وترجع يا غالي"
jo-aud/IvFnMosWSx8-1859.wav,"يا دموع العين سكابا 
عاللي دنيانا مالي"
jo-aud/IvFnMosWSx8-1860.wav,"لا لا تطوِّل الغيبِة
 يا بابا يا حبيبي"
jo-aud/IvFnMosWSx8-1861.wav,"بدعي ربي من قلبي
 يسهل دربك يا غالي"
jo-aud/IvFnMosWSx8-1862.wav,"بالسلامِة حبيبي يا بابا
 تروح وترجع يا غالي"
jo-aud/IvFnMosWSx8-1863.wav,"يا دموع العين سكابا 
عاللي دنيانا مالي"
jo-aud/IvFnMosWSx8-1864.wav,"بالسلامِة حبيبي يا بابا
 تروح وترجع يا غالي"
jo-aud/IvFnMosWSx8-1865.wav,"يا دموع العين سكابا 
عاللي دنيانا مالي"
jo-aud/_WMhouUat5c-3495.wav,السلام عليكم مقدمكم الدكتور فارس عرب
